 ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"8,429,959.00","8,460,100.00","9,482,568.00","11,000,794.00","12,127,356.00","12,868,486.00","13,392,069.00","13,909,967.00","14,444,061.00","15,027,717.00","15,228,282.00","15,323,859.00","16,325,389.00","17,583,264.00","18,254,002.00","18,869,118.00","19,614,729.00","19,916,271.00","20,264,376.00","20,942,092.00","21,498,290.00","22,244,569.00","23,105,778.00","23,853,670.00","24,672,275.00","25,381,619.00","25,970,228.00","26,643,455.00","27,333,488.00","28,042,342.00","28,829,317.00","29,547,690.00","30,181,937.00"
Albania,"2,089,320.00","2,067,878.00","2,037,549.00","2,007,405.00","1,977,318.00","1,947,385.00","1,917,515.00","1,887,867.00","1,858,316.00","1,828,925.00","1,799,636.00","1,761,589.00","1,723,790.00","1,684,768.00","1,645,111.00","1,604,189.00","1,561,661.00","1,517,619.00","1,473,922.00","1,432,259.00","1,393,502.00","1,358,266.00","1,324,613.00","1,291,587.00","1,258,985.00","1,226,200.00","1,195,854.00","1,167,112.00","1,137,407.00","1,106,598.00","1,075,204.00","1,041,188.00","1,005,551.00"
Algeria,"12,226,985.00","12,316,648.00","12,395,966.00","12,462,905.00","12,510,471.00","12,531,184.00","12,528,898.00","12,514,344.00","12,474,696.00","12,406,086.00","12,334,776.00","12,258,243.00","12,175,192.00","12,090,197.00","12,008,938.00","11,920,435.00","11,838,359.00","11,776,076.00","11,720,129.00","11,675,933.00","11,638,969.00","11,607,690.00","11,582,446.00","11,561,310.00","11,542,390.00","11,527,620.00","11,513,248.00","11,496,842.00","11,475,841.00","11,449,736.00","11,413,449.00","11,370,967.00","11,328,186.00"
American Samoa,"9,110.00","8,874.00","8,619.00","8,365.00","8,112.00","7,861.00","7,607.00","7,352.00","7,094.00","6,836.00","6,646.00","6,713.00","6,752.00","6,781.00","6,801.00","6,813.00","6,820.00","6,822.00","6,819.00","6,812.00","6,805.00","6,788.00","6,754.00","6,705.00","6,638.00","6,556.00","6,458.00","6,346.00","6,221.00","6,082.00","5,934.00","5,778.00","5,669.00"
Andorra,"2,833.00","3,032.00","3,251.00","3,484.00","3,729.00","3,989.00","4,218.00","4,411.00","4,611.00","4,815.00","5,027.00","5,388.00","5,922.00","6,499.00","7,116.00","7,755.00","8,177.00","8,358.00","8,363.00","8,189.00","7,997.00","7,956.00","8,073.00","8,181.00","8,279.00","8,362.00","8,525.00","8,750.00","8,955.00","9,173.00","9,389.00","9,596.00","9,730.00"
Angola,"7,435,009.00","7,510,862.00","7,574,578.00","7,625,954.00","7,673,358.00","7,767,350.00","7,861,076.00","7,952,345.00","8,035,333.00","8,110,431.00","8,182,768.00","8,254,958.00","8,326,997.00","8,401,539.00","8,479,480.00","8,558,422.00","8,717,389.00","8,881,597.00","9,049,269.00","9,220,494.00","9,396,374.00","9,575,556.00","9,755,929.00","9,935,338.00","10,110,460.00","10,281,807.00","10,452,268.00","10,621,656.00","10,784,991.00","10,942,954.00","11,089,900.00","11,227,528.00","11,359,649.00"
Antigua and Barbuda,"40,893.00","41,066.00","41,973.00","42,984.00","44,043.00","45,169.00","46,353.00","47,559.00","48,728.00","49,837.00","50,942.00","52,024.00","53,189.00","54,290.00","55,387.00","56,533.00","57,754.00","59,050.00","60,436.00","61,864.00","63,210.00","64,437.00","65,294.00","66,063.00","66,771.00","67,456.00","68,062.00","68,601.00","69,087.00","69,543.00","70,023.00","70,492.00","70,935.00"
Argentina,"4,248,117.00","4,195,162.00","4,181,937.00","4,167,656.00","4,152,439.00","4,136,222.00","4,117,198.00","4,095,914.00","4,072,973.00","4,049,427.00","4,025,145.00","3,999,543.00","3,974,139.00","3,948,010.00","3,921,016.00","3,894,938.00","3,868,731.00","3,841,665.00","3,813,926.00","3,787,305.00","3,732,551.00","3,717,660.00","3,705,497.00","3,693,179.00","3,679,391.00","3,664,923.00","3,649,822.00","3,634,137.00","3,617,403.00","3,599,141.00","3,579,773.00","3,559,798.00","3,538,352.00"
Armenia,"1,158,685.00","1,188,392.00","1,183,964.00","1,154,547.00","1,135,862.00","1,127,852.00","1,128,850.00","1,128,508.00","1,126,869.00","1,123,810.00","1,119,566.00","1,115,865.00","1,110,485.00","1,106,052.00","1,102,503.00","1,098,898.00","1,094,408.00","1,089,423.00","1,084,772.00","1,080,782.00","1,077,165.00","1,073,763.00","1,071,341.00","1,068,754.00","1,066,037.00","1,062,633.00","1,058,009.00","1,052,274.00","1,045,300.00","1,037,446.00","1,029,293.00","1,020,631.00","1,012,841.00"
Aruba,"32,646.00","33,726.00","35,097.00","36,478.00","37,970.00","39,475.00","41,014.00","42,610.00","44,256.00","45,929.00","47,476.00","48,666.00","49,587.00","50,424.00","51,223.00","52,084.00","53,051.00","54,058.00","55,090.00","56,133.00","57,135.00","57,795.00","58,248.00","58,652.00","59,006.00","59,314.00","59,577.00","59,791.00","59,963.00","60,091.00","60,011.00","59,803.00","59,554.00"
Australia,"2,485,877.00","2,522,951.00","2,571,981.00","2,617,535.00","2,665,835.00","2,719,097.00","2,776,179.00","2,830,515.00","2,883,617.00","2,940,357.00","2,999,891.00","3,064,677.00","3,075,954.00","3,087,676.00","3,096,947.00","3,110,866.00","3,128,998.00","3,161,216.00","3,199,492.00","3,240,082.00","3,264,665.00","3,283,984.00","3,318,631.00","3,353,116.00","3,380,029.00","3,405,449.00","3,435,109.00","3,466,571.00","3,491,861.00","3,515,460.00","3,529,080.00","3,502,976.00","3,513,869.00"
Austria,"2,843,876.00","2,893,427.00","2,946,774.00","2,992,756.00","3,026,042.00","3,052,457.00","3,078,548.00","3,103,950.00","3,129,454.00","3,157,687.00","3,187,562.00","3,222,225.00","3,260,666.00","3,299,328.00","3,342,824.00","3,388,796.00","3,428,840.00","3,463,449.00","3,497,858.00","3,530,644.00","3,562,894.00","3,598,756.00","3,612,504.00","3,617,832.00","3,629,979.00","3,654,565.00","3,677,700.00","3,686,708.00","3,686,762.00","3,683,835.00","3,678,385.00","3,672,325.00","3,684,012.00"
Azerbaijan,"3,318,602.00","3,385,445.00","3,459,819.00","3,535,747.00","3,607,222.00","3,672,897.00","3,734,314.00","3,794,654.00","3,855,372.00","3,896,779.00","3,912,746.00","3,926,875.00","3,939,942.00","3,953,356.00","3,971,421.00","3,995,444.00","4,022,610.00","4,051,232.00","4,119,674.00","4,188,204.00","4,218,775.00","4,252,916.00","4,286,937.00","4,318,074.00","4,345,898.00","4,369,801.00","4,388,966.00","4,400,516.00","4,405,307.00","4,407,577.00","4,400,904.00","4,381,941.00","4,343,714.00"
