指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年
农作物总播种面积(千公顷),169990.92,168695.13,167487.14,165930.66,165902.38,166331.91,166939.04,166829.28,165183.32,163702.25,162071.25,160360.38,158579.48,157242.45,155565.53,153010.07,152149.5,155487.73,153552.55,152414.96,154635.51,155707.86,156299.85,156372.81,155705.7,153969.15,152380.6,149879.3,148240.6,147740.7,149007.1,149585.8,148362.27
粮食作物播种面积(千公顷),118332.11,117630.82,116768.17,116063.6,117038.21,117989.06,119230.06,118962.81,117455.18,115907.54,114368.04,112980.35,111695.42,110255.09,107544.51,105998.62,104957.7,104278.38,101606.03,99410.37,103890.83,106080.04,108462.54,113160.98,113787.4,112912.1,112547.92,110060.4,109543.7,110508.7,110559.7,112313.6,113465.87
夏收粮食播种面积(千公顷),,,,26354.1,26702.89,26863.13,27054.76,27131.33,26952.02,27026.96,27041.4,27014.93,26935.21,26869.84,26465.03,26427.58,26846.52,26339.65,25175.62,25734.54,27413.95,27927.76,29588.22,31099.12,31838.73,32025.32,31418,30820.2,30916.8,31702.5,31674.1,32215.87,32042.87
秋收粮食播种面积(千公顷),,,,85259.5,85543.97,85984.36,86865.98,86368.93,84944.01,83261.78,81688.31,80336.12,79054.98,77578.48,75432.59,73848.73,72223.29,71910.69,70483.87,68085.62,70603.97,71763.85,72054.6,74486.61,74140.57,72725.92,72846,71040.8,70625.3,70807.1,70117.3,70965.27,72005.33
谷物播种面积(千公顷),99268.82,100176.66,97964.23,97847.03,99671.44,100764.56,102701.72,103225.31,101086.79,99287.58,97142.22,94615.26,92621.3,90382.87,87499.41,86388.18,84931.11,81873.91,79350.37,76810.1,81466.27,82595.59,85264.23,91616.74,92116.96,91963.5,92207.45,89309.6,87537.4,88911.9,92520,94071.9,
稻谷播种面积(千公顷),29450.11,29921.15,30075.53,29693.52,30189.45,30747.19,30745.89,30784.09,30765.12,30709.74,30475.97,30338.41,30096.87,29793.01,29350.26,28972.75,28937.89,28847.18,28378.8,26507.83,28201.6,28812.38,29961.72,31283.49,31213.8,31764.87,31406.77,30744.1,30171.4,30355.2,32090.2,32590,33064.47
早稻播种面积(千公顷),,,,4450,4791.34,5141.57,5309.32,5462.55,5559.16,5618.81,5638.33,5629.31,5705.23,5806.78,5646.89,5722.32,5887.88,6028.04,5946.54,5590.21,5872.73,6388.42,6819.73,7575.25,7808.1,8160.86,8283.92,8199.4,8001.6,7999.1,8768.3,9132.47,9417.67
中稻和一季晚稻播种面积(千公顷),,,,,20125.3,20028.12,19779.91,19428.62,19227.03,19102.13,18746.55,18593.15,18183.99,17742.26,17565.1,17104.72,16840.03,16272.16,16067.98,14881.01,15764.19,15370.36,15572.91,15300.27,14962.16,14653.45,14077.75,13408.29,13402.35,13111.36,14177.9,13824.07,13807.8
双季晚稻播种面积(千公顷),,,,,5272.81,5577.5,5656.67,5892.92,5978.93,5988.8,6091.09,6115.95,6207.64,6243.98,6138.27,6145.72,6209.98,6546.98,6364.31,6036.61,6564.62,7053.6,7569.08,8407.97,8443.54,8950.56,9045.1,9136.36,8767.48,9244.87,9144,9633.33,9838.7
小麦播种面积(千公顷),23518.46,23567.06,23379.99,23727.68,24266.19,24478.15,24665.78,24566.9,24442.7,24439.65,24550.93,24506.86,24442.27,24425.25,23703.61,23761.62,23613.4,22792.57,21625.97,21996.92,23908.31,24663.76,26653.28,28855.07,29774.05,30056.69,29610.54,28860.2,28980.6,30234.6,30495.8,30947.87,30753.2
