 ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"380,400.00","380,300.00","380,300.00","379,340.00","378,130.00","377,630.00","377,570.00","377,950.00","378,680.00","377,640.00","377,940.00","377,950.00","377,900.00","378,840.00","379,280.00","379,170.00","379,100.00","379,140.00","379,160.00","379,160.00","379,170.00","379,150.00","379,140.00","379,100.00","379,100.00","379,100.00","379,100.00","379,100.00","380,100.00","380,100.00","383,130.00","383,130.00",..
Albania,"11,210.00","11,270.00","11,270.00","11,260.00","11,260.00","11,270.00","11,310.00","11,350.00","11,390.00","11,450.00","11,440.00","11,390.00","11,400.00","11,210.00","11,220.00","10,770.00","11,200.00","11,190.00","11,810.00","12,013.00","12,013.00","12,010.00","12,013.00","11,873.00","11,742.90","11,743.00","11,817.00","11,742.80","11,740.80","11,740.00","11,655.60","11,363.30",..
Algeria,"386,760.00","386,220.00","388,650.00","388,620.00","396,400.00","396,490.00","396,360.00","396,900.00","398,260.00","397,310.00","400,210.00","401,090.00","398,550.00","399,057.00","411,450.00","412,110.00","411,810.00","412,520.00","413,090.00","413,800.00","413,740.00","413,880.00","413,981.90","414,316.40","414,310.00","414,564.00","413,602.00","413,351.40","413,388.50","413,160.70","413,160.70","413,160.70",..
American Samoa,19.3,19.6,20,20.3,20.7,21,21.3,21.7,22,22.4,22.7,23,23.3,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26,26.3,26.6,26.9,27.2,27.5,27.8,28.1,28.4,28.7,29,..
Andorra,230,230,230,230,230,230,230,230,230,230,230,227.5,228.5,228.6,228.1,218,217.8,207.7,207.6,207.7,197.7,197.7,187.6,188.1,188,188.1,188.2,188.2,188.3,188,187.8,187.6,..
Angola,"444,560.00","444,830.00","445,110.00","445,100.00","445,100.00","444,900.00","444,470.00","444,500.00","445,130.00","445,670.00","445,230.00","444,150.00","444,380.00","444,990.00","443,100.00","441,830.00","441,370.00","442,450.00","441,950.00","446,300.00","448,500.00","453,160.00","453,030.00","454,880.00","456,740.00","457,890.00","458,240.00","457,720.00","457,920.00","458,770.00","458,920.00","458,970.00",..
Antigua and Barbuda,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,..
Argentina,"1,275,650.00","1,276,600.00","1,277,550.00","1,278,500.00","1,279,480.00","1,280,450.00","1,281,420.00","1,282,350.00","1,283,300.00","1,284,120.00","1,285,100.00","1,286,060.00","1,287,100.00","1,291,033.00","1,294,966.00","1,299,209.00","1,301,389.00","1,299,684.00","1,270,469.00","1,243,284.00","1,262,679.00","1,253,184.00","1,247,419.00","1,229,374.00","1,211,889.00","1,207,394.00","1,189,899.00","1,176,404.00","1,159,577.60","1,165,577.60","1,177,577.60","1,179,577.60",..
Armenia,"11,700.00","11,700.00","11,700.00","11,810.00","12,000.00","12,440.00","13,060.00","13,320.00","13,280.00","13,230.00","13,230.00","13,280.00","13,910.00","14,440.00","15,050.00","16,050.00","17,564.00","17,519.00","17,488.00","17,463.00","17,350.00","16,981.00","16,830.00","16,830.00","16,807.00","16,767.00","16,768.00","16,761.00","16,773.00","16,770.00","16,760.00","16,748.20",..
Aruba,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,..
