 ,1990,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,45,57.7,54.9,57.7,59,59.9,60.3,63.1,64.9,60.6,51.4,53.3,63.8,69.5,62,77.6,74.2,84.8,73.8,93.1,89.6,81.2,94.5,93,99.8,95.7,104.5,99.7,94.9,121.7,129.4,121.5,..
Albania,50.8,36.7,40.5,47.9,47.9,49,48.7,50.4,53.8,49.6,51.9,53.2,52.1,54.9,58.5,58.4,62,61.1,70.6,75.2,82.7,87.5,93.9,93.7,95.9,99.9,104.2,105.8,106.2,107.8,114.1,114.8,..
Algeria,24.8,33.1,35.9,32,27.5,33,43.3,30.8,36.3,39.4,31,36.7,37.6,49,54.5,55.9,59.2,51.5,52.9,72.4,75,83.5,88.7,98.8,94.9,101.7,103.3,104.4,115.4,121,121,108.8,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,14.6,15.6,16.6,16.2,19.7,19.5,19.8,18.9,23,21.4,26.3,31.9,37.6,41.7,48.1,52.2,53.2,61.8,65.6,86.4,91.3,101,79.2,114.2,97.6,100.4,102.1,102.7,105.9,107.6,113.3,115.5,..
Antigua and Barbuda,89.7,96.2,97,96.3,96,93.7,95.9,97.9,96.9,99.5,99.4,98.6,102.9,104.4,107.4,81.5,87.3,93.9,97.6,99.4,101.2,101.8,99.3,100.7,100.8,101,98.2,89.7,88,84.8,81.2,81.5,..
Argentina,39.2,42.3,43.1,40.8,43.9,49.5,47.4,53.5,61.8,59.8,60.9,64,65.2,67.7,66.5,77.5,75.5,85.7,87.2,62.2,86.7,93.5,82.1,90.6,94.2,104.1,101.7,106.8,92.2,113.1,107.4,106.6,..
Armenia,..,..,46.5,42.2,50,48.2,50.6,39.3,44.2,43.7,40.3,43.9,44.7,48.8,60.4,74.4,75.5,84,85.5,86.2,68.3,81.8,92.3,95.7,99.1,110.6,90.3,87.9,71.7,68.5,76.3,77.9,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,54.5,56.2,54.4,59.5,63.5,51.9,69.8,83.2,79.1,87.5,90.9,89.7,90.7,60.2,92.9,89.9,93.3,59.1,69.4,84.7,85.6,99.8,111.3,103.6,102.9,97.9,99.2,131.2,104.5,84.1,76.6,127.1,..
Austria,103.6,101.5,92.7,93.9,96,98,93.5,100.6,103.6,107.4,101,104.8,103.6,97.6,112.9,105.2,102.2,107,120,112.2,92.3,111.7,93.1,93.3,107.9,92.7,99.3,93.7,98.8,98.1,103.4,100.7,..
Azerbaijan,..,..,75,60.6,52.4,47.8,54.7,44,44.7,50.5,59.3,68.3,71.8,75.8,75.3,90.6,88.9,88.6,92.5,95.2,86.6,94.8,98.8,101.1,92.5,102.1,105.4,116,125.3,137.6,137.8,142.5,..
"Bahamas, The",51.5,47.8,45.3,46.3,47.8,52.4,52.3,55.1,57.4,62,60.9,63.6,61.6,64.8,69.8,69,73,78.5,78.1,71.9,91.5,93.8,93.9,94.8,98.9,100.6,100.5,100.8,102.5,100.6,101.1,101.5,..
Bahrain,49.3,52.5,60.3,65.8,77.2,94.5,95.3,95,111.4,96.8,94.7,92.2,81.5,82.3,80,74.5,99.4,92.2,89.9,89.5,88.4,86,86.2,85.4,92.4,98.4,109.2,94.5,95.9,99.5,102.1,106.3,..
Bangladesh,45.1,47.1,47.5,47,44.9,46.5,49,49.5,51.2,58.6,62.5,61.1,62.7,64.2,62.6,71,73.4,77.6,84,84.6,89.7,93.8,94.3,96.6,98.8,100.7,100.6,108.5,108,109.9,111.8,117,..
Barbados,247.6,244.5,226,202.3,201.1,206.4,257.3,252.1,217.2,237.6,243.8,203.8,202.2,199.1,181.6,207.8,180.4,181.9,157.7,174.8,141.7,150.9,143.7,117.5,112.8,99.5,87.7,102.5,114.8,97.2,95.4,87.6,..
Belarus,..,..,91.2,109.5,80.9,86.3,95.5,78.6,74.1,67.1,81.8,78.9,82.2,87.3,104.5,93.6,96,101.7,116.7,108.4,103.6,98,107.2,93.1,108.1,97.8,94.1,101.3,91.5,96.1,101,92.9,..
Belgium,..,..,..,..,..,..,..,..,..,..,97,84.9,94,93.5,104.2,96.7,88.7,94.1,91.6,98.8,100.3,101.8,91.1,97.7,109.4,99.9,90.7,102.1,86.9,99.9,95.6,98.6,..
Belize,56,52.8,66.2,71.8,66.3,74.6,81,89.9,82.6,90.3,105.3,101.2,89.3,91.7,104.2,109,105.5,104.8,101.6,101.4,101.1,91.3,112.3,101.5,104,102.3,93.7,103.2,95.7,93.2,93.3,99.9,..
Benin,30.7,34.5,33.5,37.6,39.1,43.1,48.3,51.3,52.1,55.7,57.3,58.8,67.8,65.2,69.9,63.5,57.4,60,72.3,74.8,75.8,83.1,88.9,97.7,103.7,92.2,104.1,110.4,117.2,124.7,122.3,129.2,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,73,67.6,69.3,71.7,72.7,74.4,73.6,70.8,67.9,64.4,54,55.4,53.7,58.4,69.9,104.9,113.6,110.9,91,83.3,86.8,108.1,93.1,91,94.9,95.7,109.5,106.3,88,94.3,102.7,91,..
Bolivia,36.5,39.7,38.2,41.2,43.9,48.7,51,52.3,53.4,53.8,56.4,57.6,60.2,63.9,62.1,66.2,68.1,68,68.1,80.9,75.5,77.2,88.9,93.3,96.2,102.4,101.4,95.2,108,107.8,107,116,..
Bosnia and Herzegovina,..,..,77.1,70.9,63,62.8,66,81,87.4,86,68,77,83.3,73.3,102.2,96.9,99.7,92.9,101.7,104.9,95.4,97.6,82.2,105.9,83.5,98.5,118.1,95.1,127.7,115.3,129.6,107.7,..
Botswana,90.2,66.5,54.9,65.5,71.2,72.5,86.3,70.2,59.1,63.6,66.9,68.8,73,74.5,70.6,75.5,75.9,73.2,81.1,81.3,90.8,107.6,83.9,76.7,93.1,104.1,102.8,101.7,134.9,115.7,178.3,147.3,..
Brazil,41.2,42,44.4,43.7,47.3,48.5,45.7,48.9,49.8,53,54.1,57.4,61.1,66.5,69.1,68.1,71.8,78,84.6,82.4,88,93.8,90.8,97.6,99,102.7,98.4,109.4,109.7,112,116.4,115.1,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,54.2,53.7,51.3,57.3,59.3,65.3,69,67,64.2,74.1,84,86,88.5,91.8,100.7,90.6,81.2,80.9,82.7,85.4,88.2,91.2,92.2,94.5,97.3,98.1,104.6,103.4,98.6,98.3,98.3,96.8,..
Bulgaria,116.2,113.8,100.4,73.4,86.5,98.9,69.4,84.6,78.5,77.1,67.7,74,79.8,69.1,90.5,67,71.9,53.3,82.7,75.5,87.5,88,78,102.8,101.3,97,101.7,108.2,108.1,110.9,89.8,113.4,..
Burkina Faso,22.6,29.7,28.8,29.5,28.6,28.5,32.2,30.3,37.3,37.3,30.6,45.1,45.7,50.2,46.3,57,58.7,46.9,68.6,59.7,70.3,63.2,76.6,91.8,99.6,98.1,102.3,95.5,107.7,116.5,122.7,113.1,..
Burundi,81,85.5,88.1,84.4,75.7,78.3,79.1,78.5,73.8,77.9,80.6,88.4,103.1,87.6,105.1,84.7,97.7,86.3,95.7,90.9,101.5,94.1,81,116.5,101.2,95.6,103.2,97.9,121.3,132,130.5,121.2,..
Cabo Verde,68.5,55.3,50.7,50.8,45.6,46.1,52.1,49.7,52.4,75.2,99.6,97.3,88.9,92.6,91.2,87.9,89.2,99,91.4,89.7,87.7,100.1,104.4,109.6,100.5,101.4,98.1,91.3,72,70.2,69.6,70.9,..
Cambodia,23.8,23.5,22.8,23.5,22.8,30.9,30.9,31.2,31.6,36.1,36,36.4,34.6,42.5,39.5,53.7,58.9,62.8,70.2,74.2,80.7,93.6,97.5,98.7,97.4,98.4,104.2,109.7,114.7,115.5,120.2,123,..
Cameroon,30.5,31.2,30.9,32.9,34.7,37.5,39.7,37.8,40.5,42.2,42.9,43.1,44,46.2,47.4,57.5,61.4,65.2,67.5,72.8,80.7,81.9,88.4,91,94.8,100.9,104.3,99,100.5,102.5,101.7,104.7,..
Canada,58.9,58,54.5,59.6,61.4,62.5,65.9,62.9,67.4,72.9,68.9,56.7,49.9,64.5,69.9,73.3,70.8,69.6,82.4,80.2,78.7,81.3,85.7,106.6,93.5,98.5,108,107.9,107.1,107,111,82.8,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,69,68.6,68.2,68.7,73.4,76.5,84.8,89.2,90.5,87.2,89.9,92.9,90.8,85.8,89,90,91.8,96.2,97.9,101.4,98.8,103.4,105.4,104.7,100.5,98,101.6,106.4,109.1,110.2,112.7,114,..
Chad,31.7,38.7,38,30.5,41.4,41,44.2,50.1,56.7,52.1,49.2,61,54.5,59.6,51.9,66.8,62.1,63,64.4,57.3,106.3,67.1,118.3,99.5,100.7,92.5,106.8,98.4,103.4,109.8,105.8,101.9,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,51,53.6,56,58,62.2,65.5,67.9,66.2,67.3,65.9,68.9,74,75.3,78.6,79.9,84.6,87.1,81.3,83.6,85.8,90.6,96.7,98.2,102.4,96.6,101.9,101.5,100.4,112.8,110.7,104.7,107.9,..
China,40.2,41.5,42.8,45.6,46.5,49.7,53.6,54.9,56.6,58.6,62.2,63.5,66.3,66.2,70.8,72.9,74.7,77.6,82.4,83.9,86.3,90.9,93.5,95.6,97.2,101.6,101.2,103.2,104.5,107.1,107.7,109.2,..
Colombia,68.7,70.5,74.1,69.6,68.3,71.9,70.6,71.4,69.5,72.2,73.2,73.8,76.5,80.6,82.3,81.1,82.4,85.3,83.4,79.7,77.6,78.4,86.4,93.3,95,100.6,104.4,92.6,98.9,105.5,101.2,98.9,..
Comoros,68.3,71.1,72.6,74,74.7,78,80.2,79.1,82,83.4,83.5,85.3,84.5,86.7,88.2,87.8,92.9,94.4,96.4,96.9,96.7,98.2,97.1,100.7,96.5,98.4,105.1,105.3,107.3,107.1,106.7,107.2,..
"Congo, Dem. Rep.",58,60,61.5,61.9,63.3,51.5,51.1,49.6,50.3,49,48.1,47,46,46.3,46.6,46.9,47.1,47.5,47.9,48.3,81.2,84.8,87.1,92.6,99.4,100,100.6,106,108.5,110.9,115.7,120.6,..
"Congo, Rep.",49.5,47.6,48.5,49.4,53,57.1,59.3,59.2,57.5,62,63.4,64.8,65.2,67,70.1,73.4,76,78.4,82.4,85.5,83.8,85.1,89.4,91.8,101,100.5,98.5,99.1,102.4,103,102.6,107,..
Costa Rica,49.4,51,55.4,55.3,56.4,58.7,62.8,64,68,69.9,70.9,71.3,67.7,70.7,72.2,76.1,86.9,83.3,79.9,80.8,84.9,89.3,94.7,95.1,99.2,97.6,103.2,105.8,104,97,94.6,98.9,..
Cote d'Ivoire,49.9,48.5,50.8,48.9,50.6,56.4,58.8,61.9,65.3,66.1,71.7,67.5,67.4,66.8,67.9,71,73.5,70.6,74.4,69.3,73.5,76.1,83.1,85.7,94.4,104.6,101.1,111.1,117,121.6,126.2,126.1,..
Croatia,..,..,72.6,79,76.2,80.7,83.9,87.7,97.5,94,69.9,80.2,87.9,63.4,81.1,84.8,90.5,85.3,109.2,104.8,95.7,94.4,81.8,100.5,92.3,96.9,110.8,88.1,100.5,98.2,111,72.5,..
Cuba,146.5,142.1,127.7,87.6,86.4,79.2,97,93.9,86.4,104.5,125.1,124.7,130.1,131.5,138.2,108.4,89.2,95.2,95.1,97.7,84.4,89,94.4,98.1,97.2,101.1,101.7,103.9,91.8,92.6,71,65.3,..
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,221.2,169.6,212.9,223.8,172.7,221.9,203.6,159.5,183.7,192.8,176.6,169.8,178,169.5,185.5,151.9,143,132.1,110.6,108.9,110.2,117.9,104.6,99.1,101.4,109.2,89.4,94.4,86.7,88.7,87.2,82.5,..
Czechia,..,..,..,97.1,89.3,93.2,94.9,90.7,92,98.1,92.3,96.3,80.9,67.9,99.6,89.7,78.2,85.5,95,91.5,80.8,94.4,79.9,91.1,104.2,94.6,101.2,90.2,87.4,87.1,92.9,92.3,..
Denmark,105,98.6,81.1,92.3,83,91.1,91.1,95.1,94.4,89.4,91.7,89.3,85,88.2,90.8,90.1,84.7,85.9,93,100.5,89.1,90.8,93.7,93.8,101.1,103.9,95,107.1,75.8,103.7,103.1,96.2,..
Djibouti,59.3,59.1,61.5,61.9,63.7,65.3,66.1,68.2,69.2,71.7,73.6,75.9,78.7,74.1,77.6,78.3,74.6,79.9,83,86.3,87.2,91.4,103,97.8,98.5,101.2,100.2,123.5,138.8,158.5,168.8,184.8,..
Dominica,138.2,129.6,124.9,128.2,111.5,101.4,120.3,118.2,109.3,106.7,107.1,97.9,96,87.4,90.3,89.6,93.1,95.6,95.2,98.9,97.2,96.4,98.6,98.7,98.2,98.9,102.9,99.7,99.2,100.2,100,99.5,..
Dominican Republic,47.8,46.4,49.2,49.2,46.2,48.6,50.2,51.7,50.2,49,51.4,56.7,58.8,63.1,57.8,56.2,62.9,62.2,56.2,65,71.3,79.3,82.4,89,97.9,99.1,103.1,109,117.6,120.1,119.4,120.5,..
Ecuador,60,52.7,65.4,68.4,77.3,74,79.1,82.6,70.7,86.1,70.6,83.8,76.4,82,86.2,84.1,83.2,86.7,89.9,97.6,103.3,98.7,94.6,86.7,98.8,107,94.1,93.7,93.4,94.9,96.1,104,..
"Egypt, Arab Rep.",47.4,47.9,51.7,53.5,52.8,57.9,63.4,64.3,64,69.8,73.3,71.8,75.5,76.8,81,83.8,89.2,91.4,95.1,95.7,88.4,93.2,97.7,94,99.1,102,98.9,100.6,96.2,101.2,101.8,101,..
El Salvador,98.4,102.6,117,104.1,102.5,104.6,108.2,103.2,102,114,102.3,101.2,92.3,89.3,96.4,97.1,103.5,105,117.9,109.8,105.5,100.5,116.7,102.5,101.1,94,105,107.2,103.4,107,101.8,102.6,..
Equatorial Guinea,76.9,74.7,71.5,69.2,69.4,70.5,72.6,73.5,71.9,72.6,77.1,77.6,76.2,79.2,79.8,82.4,84.4,87.9,89,88.9,92.1,93.9,95.8,96.2,97.6,102.6,99.8,102,102.6,102.8,102.9,102.2,..
Eritrea,..,..,..,65.1,104.6,88.9,71.7,76.3,138.6,112.8,76,94.4,60,71.4,72.9,123.9,114.8,133,61.3,84.3,86.7,99.5,100.8,100,100.7,99.3,100,100.7,100,99.9,100.1,100.1,..
Estonia,..,..,81.1,83.1,66.4,66.6,67.8,67.4,54.9,52.3,73.8,61.5,53.9,53.1,53.2,66.4,54.4,76.5,68.5,73.2,65.2,72.5,82.1,83.6,95.9,122.8,81.3,103.7,71.1,120.3,122.4,101.9,..
Eswatini,87.7,84.3,79.3,72.2,75,70.2,76.9,80.7,79.6,86.8,77.5,77.8,84,83.7,87.1,91,86.9,85.4,87.2,88.5,93.3,95.9,98.2,100.6,101.7,100.1,98.2,102.1,105.2,104.8,103.6,103.4,..
Ethiopia,..,..,..,25.7,26.1,30.5,36.5,36.5,32.5,35.2,36.5,38.8,37.7,39.2,42.6,50.7,51.3,56.3,57.8,65.6,72.6,76.5,80.6,88.9,96,101,103,106.4,105.9,108.1,116.9,113,..
Faroe Islands,93.6,95.5,98,97.4,97.7,97.8,97.7,97.4,97,96.5,95.9,95.2,94.4,93.7,93.2,92.6,92.2,90.4,91.9,92.2,91.3,94.1,96.9,103.3,109.3,89.8,100.8,98.3,98.6,99.4,99.8,100.1,..
Fiji,177.9,150.5,156.8,157.1,166.6,172.3,168,157.3,119.5,161.3,161.6,143.3,151.4,136,152.4,155.8,165,142.2,139.3,133,93.8,112.9,81.3,104.9,107.2,107.8,85,97.5,103.2,109.6,115,110.5,..
Finland,115.8,93.8,80.8,95.7,96.2,97.4,101.2,105.3,78.2,87.4,108.7,100.7,106.4,99.3,97.3,110.4,101.8,108.5,107.4,113.7,90.3,102.4,93.6,104.6,106.6,97.3,96.1,93.7,80.3,106.4,93,78.2,..
