Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,"1,477,787,802.00","1,691,686,566.20","1,552,895,061.60","1,930,134,258.90","1,996,430,526.00","2,934,602,218.90","2,516,433,494.40","3,637,622,453.00","4,156,043,680.70","4,227,582,729.00","4,855,571,679.80","4,595,531,207.10","4,537,457,838.30","3,948,217,064.10","4,663,262,628.20","4,954,700,544.10","3,979,453,248.00","4,845,363,302.60","5,981,905,983.50","4,793,204,104.90",..
Albania,..,..,..,..,..,..,"1,165,016,858.50","712,413,087.90","732,872,453.00","832,541,636.50","853,223,432.00","890,950,856.20","957,666,991.00","1,233,309,073.70","1,475,553,858.70","1,517,438,816.20","1,575,348,420.50","1,831,547,685.90","2,168,840,322.60","2,022,750,081.80","2,141,583,008.40","2,349,571,760.80","2,312,038,877.20","2,499,688,485.30","2,644,330,678.80","2,252,343,961.10","2,354,447,509.90","2,476,628,808.50","2,793,252,451.90","2,832,292,992.30","2,915,069,419.20","3,291,715,601.80","3,522,763,459.40"
Algeria,..,..,..,..,..,..,..,..,..,"5,402,509,618.10","4,599,680,530.60","5,337,290,525.40","5,236,132,672.50","6,657,822,423.20","8,055,803,032.40","7,937,299,461.10","8,827,458,545.00","10,218,609,833.10","11,263,262,045.00","12,820,125,456.10","13,648,525,690.70","16,222,242,150.90","18,335,916,285.10","20,663,211,051.20","21,993,343,502.80","19,218,248,686.60","19,556,332,426.20","19,996,752,904.40","20,769,544,917.10","21,189,984,131.00","20,089,637,851.70","19,903,838,465.20","22,590,940,278.00"
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,"7,388,974.20","6,836,627.90","6,776,139.00","9,898,040.00","12,006,978.20","12,025,568.30","12,218,666.50","14,576,301.80","16,625,773.60","15,392,245.30","16,094,200.10","17,803,105.20","19,169,050.00","18,699,905.00","17,589,355.00","14,323,818.10","15,120,303.80","16,787,053.00","17,584,405.70","16,489,864.30","16,173,504.20","17,743,562.90","16,615,558.10"
Angola,..,..,..,..,..,"368,504,825.80","459,236,446.90","690,942,019.40","840,050,772.90","387,034,655.50","517,163,204.70","728,860,314.80","892,609,812.20","1,104,099,923.00","1,472,210,378.40","1,870,876,565.30","2,719,245,778.80","3,421,447,172.20","4,254,583,293.40","4,655,177,817.70","5,179,053,428.20","6,534,871,905.20","7,772,338,145.70","8,611,957,335.30","10,261,491,759.60","8,255,567,077.30","5,187,083,682.90","7,381,539,857.80","6,838,910,102.80","5,588,620,582.50","4,824,228,920.60","7,639,008,923.80","14,574,897,261.90"
Antigua and Barbuda,"8,181,481.50","8,574,074.10","9,000,000.00","9,340,740.70","9,292,592.60","9,485,185.20","10,237,037.00","11,700,000.00","12,129,629.60","12,777,777.80","13,196,296.30","12,914,814.80","14,096,296.30","14,970,370.40","14,807,407.40","17,966,666.70","19,125,925.90","21,081,481.50","21,203,703.70","18,322,222.20","18,762,963.00","20,977,777.80","24,055,555.60","19,670,370.40","19,870,370.40","20,781,481.50","21,725,925.90","25,492,592.60","27,029,629.60","28,429,629.60","32,170,370.40","33,337,037.00","36,503,703.70"
Argentina,"11,483,031,947.00","12,742,527,110.60","13,705,657,846.10","12,161,011,111.10","13,084,820,500.00","13,808,477,800.00","15,269,958,100.00","15,293,015,300.00","15,702,922,200.00","12,638,962,300.00","13,300,482,400.00","12,275,651,800.00","9,974,343,869.20","13,177,395,614.80","13,769,497,386.50","15,777,249,624.70","16,129,176,942.60","21,427,791,191.20","26,462,268,578.80","17,559,926,036.60","30,213,817,111.10","37,104,355,520.70","31,567,304,377.50","33,413,631,489.60","35,330,279,235.00","30,669,352,554.00","34,926,979,196.30","33,672,207,049.20","23,815,691,141.70","23,814,083,576.10","24,521,654,022.40","35,647,668,834.90","41,906,614,727.80"
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,902,205,139.50","2,050,215,598.10","2,098,075,453.70","1,817,613,988.20","1,728,561,668.50","1,728,457,144.50","1,736,924,917.50","1,569,706,412.80","1,434,808,157.50","1,574,360,720.20","2,024,159,340.80"
Aruba,..,..,..,..,..,"6,681,564.20","6,703,910.60","6,586,592.20","6,793,296.10","6,603,352.00","348,603.40","353,072.60","354,189.90","368,156.40","396,089.40","408,938.50","432,402.20","477,653.60","483,240.20","508,379.90","502,793.30","537,988.80","561,452.50","486,033.50","413,407.80","370,949.70","555,307.30","739,664.80","729,050.30","936,312.80",..,..,..
