 ,1990,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,67.1,68.6,68.2,72.1,79.1,85.1,93.7,102.5,109.9,115.2,98.1,78.9,95.1,90.5,97.2,95.6,84.7,86.6,91.4,94.2,98.1,100.5,101.3,96.4,104.3,96.7,99.1,100.3,98.7,99.4,100.7,102.0,..
Albania,50.9,49.7,55.9,60.1,70.8,80.1,81.5,72.0,73.3,77.5,81.8,83.6,86.0,89.3,92.4,89.7,91.2,94.7,87.2,87.7,89.6,93.3,96.5,98.4,98.2,100.3,101.5,101.0,105.6,99.0,94.3,88.1,..
Algeria,43.6,43.3,45.1,47.6,48.5,49.9,50.4,49.6,52.2,52.0,59.0,57.5,59.8,61.0,65.0,66.9,70.2,70.0,70.2,74.6,79.0,86.1,91.4,96.4,100.6,97.6,101.8,100.2,96.2,96.0,96.5,96.7,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,47.3,47.7,50.9,51.9,51.0,48.0,56.2,59.6,63.7,64.1,68.7,70.0,71.9,72.6,64.7,71.4,72.5,76.4,79.8,81.3,85.5,87.7,90.4,94.5,97.0,100.1,102.9,104.6,103.3,106.3,108.3,108.7,..
Antigua and Barbuda,222.8,246.1,235.0,248.1,250.2,243.4,235.9,232.6,231.0,243.0,246.2,259.5,250.6,267.9,269.7,276.6,278.2,269.7,270.1,249.2,105.5,112.8,100.5,103.5,100.4,98.5,101.2,103.0,87.0,91.9,100.7,94.2,..
Argentina,79.5,78.1,76.4,80.2,82.1,82.1,81.7,82.6,79.7,87.3,86.5,81.0,76.8,79.3,87.0,94.5,95.5,98.4,99.0,104.7,92.5,93.5,96.0,100.1,98.3,103.1,98.6,103.1,108.2,110.5,113.0,111.2,..
Armenia,..,..,58.5,51.8,51.7,53.3,53.8,53.8,56.0,55.7,57.4,56.5,58.5,61.9,66.6,70.0,75.5,79.3,82.7,81.5,80.7,80.6,81.8,87.5,94.6,100.3,105.0,106.9,102.0,101.4,101.2,95.7,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,83.8,83.6,81.9,83.3,84.4,82.0,80.3,83.4,87.2,89.4,91.4,91.3,92.3,86.1,87.7,88.2,91.2,90.8,87.8,86.9,85.9,86.4,88.5,95.1,100.9,102.4,96.8,91.0,95.8,96.2,94.8,87.8,..
Austria,97.6,95.7,96.1,94.5,93.2,86.9,89.8,89.2,90.1,91.8,92.5,93.3,93.0,92.4,91.5,89.8,91.1,92.4,93.5,95.6,97.1,97.7,97.7,98.0,98.5,100.2,101.4,101.4,101.5,101.1,100.9,99.2,..
Azerbaijan,..,..,46.5,41.3,38.7,39.2,40.9,43.7,47.4,49.6,51.8,54.0,56.8,59.9,62.9,64.8,66.8,70.1,72.3,80.4,86.2,88.1,91.8,95.1,97.1,99.4,103.5,104.9,107.3,113.0,116.1,118.5,..
"Bahamas, The",57.4,48.2,54.1,52.6,45.6,78.6,104.7,86.4,129.8,126.0,70.1,74.3,75.0,87.1,87.8,89.1,88.9,88.2,89.2,94.0,95.5,99.9,93.9,95.5,98.5,99.6,102.0,100.6,100.4,98.2,97.3,95.2,..
Bahrain,15.4,15.3,17.8,19.8,14.0,13.3,14.1,21.9,20.4,22.0,26.4,21.3,21.9,19.8,17.4,19.0,19.8,22.1,22.5,28.0,24.4,40.1,63.3,86.4,81.3,98.8,119.9,147.8,149.1,137.0,125.7,133.5,..
Bangladesh,41.5,45.0,46.9,49.3,52.0,54.4,57.4,60.9,60.3,61.7,63.1,64.2,67.3,70.1,72.2,76.1,78.3,80.8,83.7,84.9,89.2,92.0,94.6,95.9,98.4,99.8,101.8,107.1,109.9,105.2,114.0,115.2,..
Barbados,94.4,92.1,80.7,77.6,73.9,80.3,92.6,86.4,86.2,84.5,79.0,80.9,76.9,83.3,89.2,95.1,90.6,97.7,94.6,96.2,95.4,94.9,95.0,91.5,94.5,103.7,101.8,102.7,106.0,107.6,86.0,89.2,..
Belarus,..,..,94.3,85.4,80.7,72.2,68.6,69.6,72.1,67.7,62.2,65.9,64.4,62.5,66.6,74.0,78.8,80.4,83.3,90.0,92.1,92.4,96.2,98.7,95.5,101.8,102.7,104.9,105.9,106.4,111.3,111.2,..
Belgium,..,..,..,..,..,..,..,..,..,..,97.3,98.4,98.3,94.9,94.0,89.7,90.9,91.2,87.5,87.2,92.9,92.7,91.3,94.5,97.1,102.1,100.8,102.5,104.9,102.0,104.9,104.9,..
Belize,43.1,43.7,48.1,34.6,44.9,46.7,47.6,46.9,46.7,51.2,51.8,75.4,80.4,82.3,86.6,77.9,77.6,76.1,74.7,77.0,79.1,79.2,82.9,92.4,95.4,101.5,103.1,105.2,110.1,111.9,102.4,107.6,..
Benin,45.6,50.3,51.7,52.4,56.0,53.5,56.2,56.8,60.1,59.3,68.9,69.2,72.7,72.9,78.6,81.3,80.2,82.5,75.4,71.5,83.7,89.4,92.5,97.5,97.4,100.3,102.3,104.8,106.8,118.2,121.4,107.5,..
