 ,1990,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,53.0,60.9,59.0,62.3,65.8,68.8,72.4,77.5,81.7,80.8,68.7,62.4,75.8,77.8,75.8,84.7,78.4,85.9,80.7,93.6,93.0,88.7,97.2,94.3,101.7,96.0,102.3,100.0,96.1,112.6,118.1,113.7,..
Albania,48.7,41.3,45.6,51.5,57.3,61.6,62.1,58.8,61.4,60.7,64.0,65.9,66.4,69.6,72.9,71.6,74.4,75.4,77.7,80.5,85.6,89.9,95.0,95.6,96.8,100.1,103.1,103.9,106.1,104.1,105.8,103.4,..
Algeria,31.1,36.5,39.0,37.3,34.8,38.9,45.7,37.3,41.8,43.8,40.9,44.0,45.5,53.3,58.2,59.8,63.1,58.1,59.1,73.1,76.5,84.5,89.8,98.0,97.0,100.3,102.8,102.9,108.6,112.2,112.3,104.6,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,19.9,20.8,22.3,22.1,24.9,24.0,25.8,25.8,29.9,28.8,33.6,38.7,43.8,47.2,51.0,55.6,56.6,64.2,68.3,85.4,90.3,98.6,81.1,110.7,97.4,100.3,102.3,103.2,105.6,107.5,112.6,114.6,..
Antigua and Barbuda,126.6,138.2,135.6,138.7,139.2,135.8,135.3,135.8,134.6,139.9,140.7,143.8,144.4,150.3,153.0,136.0,140.7,143.1,146.0,141.4,102.5,105.0,99.7,101.5,100.7,100.3,99.0,93.3,87.6,86.6,86.5,84.9,..
Argentina,51.2,52.7,52.9,53.0,55.7,59.0,57.2,62.0,66.8,68.5,69.1,69.3,68.9,71.6,73.1,83.1,82.1,89.9,91.2,76.1,88.2,92.8,86.5,94.0,95.1,104.0,101.0,106.0,97.5,112.6,109.4,108.2,..
Armenia,..,..,50.7,45.5,50.5,50.1,51.8,44.9,48.7,48.1,46.3,48.4,49.7,53.7,62.7,72.7,75.6,82.3,84.5,84.4,73.0,81.2,88.2,92.5,97.4,106.7,96.0,95.2,83.5,81.3,86.0,84.9,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,63.1,63.4,63.0,67.2,70.4,64.4,72.0,78.7,79.1,84.2,87.0,87.2,88.8,73.5,90.0,87.3,91.0,76.5,80.9,86.8,86.4,90.4,95.5,96.9,100.8,101.2,98.0,108.1,97.5,91.5,89.6,106.7,..
Austria,99.9,97.9,94.8,94.3,94.3,91.1,91.1,93.3,95.1,97.6,95.6,97.6,97.0,94.3,99.6,95.6,95.3,97.9,103.6,101.9,95.3,103.0,96.0,96.2,102.0,97.4,100.6,98.5,100.5,100.0,101.8,99.8,..
Azerbaijan,..,..,51.0,42.2,38.3,37.2,42.1,40.7,43.1,47.9,53.5,59.7,63.6,66.8,67.1,74.9,76.5,78.6,82.7,88.6,86.5,91.2,95.4,98.5,94.8,101.3,103.9,107.7,113.3,121.5,122.2,127.0,..
"Bahamas, The",53.3,47.9,48.0,48.2,47.1,60.4,68.4,64.7,79.6,81.6,63.7,66.9,65.7,71.6,75.3,75.1,77.9,81.5,81.5,78.6,92.7,95.7,93.9,95.1,98.8,100.3,100.9,100.7,101.9,99.9,99.9,99.6,..
Bahrain,21.9,22.4,25.9,28.5,26.0,28.7,29.5,35.8,37.7,36.2,39.4,34.8,33.3,31.7,29.3,29.6,34.9,35.4,35.3,39.7,36.6,48.8,67.6,86.2,83.4,98.7,117.9,137.7,139.0,129.9,121.2,128.4,..
Bangladesh,44.6,46.0,46.6,46.5,44.9,46.9,49.5,50.1,52.0,58.8,62.6,61.4,63.2,64.9,63.8,71.8,74.1,78.4,84.6,85.1,90.2,93.3,94.1,96.3,98.7,100.5,100.8,107.9,107.8,108.3,111.5,116.4,..
Barbados,132.7,130.2,117.1,108.8,105.7,111.8,133.8,127.9,119.0,122.8,120.2,111.6,108.2,112.3,112.3,123.3,113.0,118.7,110.4,115.9,107.0,108.9,107.1,98.0,99.1,102.6,98.2,102.7,108.2,105.0,88.4,88.8,..
